Sample,Bacteroides vulgatus,Faecalibacterium prausnitzii,Bacteroides uniformis,Bacteroides dorei,Bacteroides ovatus,Bacteroides fragilis,Escherichia coli,Parabacteroides distasonis,Bacteroides thetaiotaomicron,Bacteroides sp. A1C1,Blautia sp. SC05B48,Anaerostipes hadrus,Roseburia intestinalis,Collinsella aerofaciens,Bifidobacterium adolescentis,[Eubacterium] eligens,Alistipes sp. 3BBH6,Akkermansia muciniphila,Bacteroides sp. PHL 2737,Bacteroides cellulosilyticus,Bacteroides xylanisolvens,Bifidobacterium longum,Anaerobutyricum hallii,Bacteroides caccae,[Ruminococcus] gnavus,Ruminococcus bicirculans,Megamonas funiformis,Roseburia hominis,Alistipes shahii,Bifidobacterium pseudocatenulatum,Odoribacter splanchnicus,Dysosmobacter welbionis,Longibaculum sp. KGMB06250,Ruthenibacterium lactatiformans,Parabacteroides sp. CT06,Streptococcus salivarius,[Clostridium] bolteae,Flavonifractor plautii,Bacteroides intestinalis,Phascolarctobacterium faecium,Klebsiella pneumoniae,Alistipes finegoldii,Oscillibacter sp. PEA192,Alistipes sp. 5CBH24,Paraprevotella xylaniphila,Clostridioides difficile,Bacteroides caecimuris,Butyricimonas faecalis,Bacteroides salanitronis,Faecalitalea cylindroides,Intestinimonas butyriciproducens,Prevotella intermedia,Bifidobacterium bifidum,Acidaminococcus intestini,Fusobacterium mortiferum,Megasphaera elsdenii,[Clostridium] clostridioforme,Eggerthella lenta,Haemophilus parainfluenzae,Blautia hansenii,Bifidobacterium catenulatum,Alistipes sp. Marseille-P5997,Streptococcus thermophilus,Mordavella sp. Marseille-P3756,Alistipes sp. 5CPEGH6,Adlercreutzia equolifaciens,[Clostridium] innocuum,Blautia producta,[Clostridium] scindens,Dialister sp. 5BBH33,Prevotella melaninogenica,Dialister sp. Marseille-P5638,Blautia sp. YL58,Alistipes indistinctus,Prevotella ruminicola,Christensenella minuta,Bacteroides helcogenes,Blautia sp. N6H1-15,Erysipelatoclostridium ramosum,Klebsiella variicola,Streptococcus parasanguinis,Klebsiella quasipneumoniae,Ruminococcus sp. JE7A12,Prevotella oris,Enterococcus faecium,Lachnoclostridium phocaeense,Streptococcus pasteurianus,Prevotella dentalis,Salmonella enterica,Bacteroides heparinolyticus,Bifidobacterium breve,Lachnoclostridium sp. YL32,Desulfovibrio piger,Veillonella parvula,Romboutsia ilealis,Prevotella denticola,Porphyromonas asaccharolytica,Streptococcus sp. HSISM1,Prevotella fusca,Parvimonas micra,Clostridium sp. SY8519,Ruminococcus champanellensis,Bacteroides zoogleoformans,Monoglobus pectinilyticus,Enterococcus faecalis,Barnesiella viscericola,Raoultella ornithinolytica,Klebsiella aerogenes,Lactobacillus salivarius,Oscillibacter valericigenes,Prevotella scopos,Veillonella atypica,Streptococcus agalactiae,[Clostridium] saccharolyticum,Veillonella dispar,Prevotella jejuni,Acidaminococcus fermentans,Enterobacter hormaechei,Pseudobutyrivibrio xylanivorans,Lactobacillus ruminis,Lactococcus lactis,Citrobacter freundii,Pseudomonas aeruginosa,Streptococcus sp. HSISS1,Prevotella enoeca,Klebsiella oxytoca,Hungatella hathewayi,Lactobacillus paragasseri,Anaerostipes rhamnosivorans,Raoultella planticola,Cloacibacillus porcorum,Gordonibacter pamelaeae,Bifidobacterium dentium,Turicibacter sp. H121,[Clostridium] hylemonae,Fusobacterium varium,Streptococcus sp. FDAARGOS 192,Acutalibacter muris,Campylobacter coli,Clostridium perfringens,Prevotella sp. oral taxon 299,Eubacterium maltosivorans,Citrobacter braakii,Butyrivibrio fibrisolvens,Anaerostipes caccae,Streptococcus oralis,Olsenella sp. GAM18,Streptococcus anginosus,Eubacterium limosum,Christensenella sp. Marseille-P3954
MMRS12272136ST,34.27749,10.57335,10.65036,3.89724,0.8451559,1.772549,0.01953643,1.786946,5.426019,2.781688,0.762083,1.552367,2.227731,0.35238,0.002410405,3.779409,0.3742508,0.014092768,0.8326532,1.043194,0.4265556,0.1135979,1.057236,2.807874,0.318214,0.03439385,0.001210266,1.050299,1.159547,0.002040742,0.7445316,0.3576818,0.6007276,0.2150426,0.4737104,0.01986052,0.2143336,0.1929438,0.2330345,0.02789689,0.00148878,0.230295,0.3223107,0.08584283,0.1480019,0.3373909,0.215154,0.4022895,0.08593398,0.1630973,0.1784763,0.02573968,0.001392566,0.002886409,0.000308896,0.004719533,0.09796575,0.04242516,0.00826931,0.07742667,0.002724365,0.01889332,0.004142251,0.2638178,0.03676881,0.03549271,0.1105343,0.1823907,0.07586699,0.000572218,0.009277021,0.001387502,0.1737011,0.03520407,0.01078606,0.1363854,0.2048946,0.08846085,0.005312006,0.000638048,0.01679688,0.001038095,0.03299115,0.007418579,0.04213651,0.05919671,0.02049351,0.02169365,0.01043159,0.1478247,0.02278744,0.04559008,0.149105836,0.002450916,0.00081022,0.02336979,0.002977559,0.01526759,0.006233632,0.00173691,0.04068825,0.02395213,0.09178782,0.00783888,0.002496491,0.03183153,0.000805156,0.000607665,0.00083554,0.03477364,0.005084132,0.003600416,0.00917068,0.02177467,0.004516978,0.005058812,0.004734724,0.000926689,0.03918427,0.005286687,0.08322481,0.002567385,0.009535279,0.001529291,0.007327429,0.000896306,0.02459525,0.000172172,0.01161147,8.61e-05,0.003256072,0.006491889,0.000389919,0.001660951,0.02199241,0.000567154,0.001063414,0.02113662,0.011915301,0.00472966,0.005843713,0.00745909,0.0001823,0.02532951,0.01305974,0.001904017,0.002744621,0.002567385,0.01405732,0.009175744
MMRS14602194ST,24.09701,8.668165,14.89265,2.034777,5.609593,1.022571,4.238023,0.9487033,0.2463869,4.268939,0.5889206,0.5245232,7.332627,0.1690304,0.004826651,2.736589,0.3272039,0.010474687,0.7159343,0.4324915,0.4351346,0.009234478,0.5769495,1.788398,1.988881,0.07385956,0.001354065,0.8264227,0.3168918,0.00196807,0.5954429,0.7530389,1.373034,0.5566426,1.558252,0.04082119,0.2687514,0.9506673,0.188768,0.01428071,0.002699997,1.354955,0.4743374,0.5195664,0.04500944,0.5562807,0.1741091,0.05879406,0.06418999,0.128563,0.1797816,0.00774216,0.00150045,0.005265807,0.000504216,0.002610539,0.1459666,0.1018598,0.004350899,0.0861112,0.004834784,0.02993581,0.003395328,0.2616517,0.04901877,0.09208047,0.2363311,0.2353348,0.09962338,0.000650602,0.003139153,0.001309336,0.1615403,0.01246309,0.002760991,0.08032084,0.1130339,0.07453862,0.01040556,0.000248042,0.03470147,0.000459487,0.02257181,0.002187648,0.09656556,0.0864853,0.03669394,0.002663401,0.04717675,0.08121949,0.02064847,0.06432418,0.002264907,0.001349998,0.007433124,0.00270813,0.004615206,0.02307603,0.002020931,0.01116189,0.04611139,0.0400486,0.04032104,0.1393548,0.001167017,0.0257313,0.000605873,0.000345632,0.000744126,0.04243549,0.001232077,0.00090271,0.1434617,0.02545072,0.000809186,0.001382529,0.003818219,0.000760391,0.04138233,0.02209199,0.003822285,0.002386895,0.00243569,0.001736293,0.001846082,0.000589608,0.03719409,0.001447589,0.04553399,5.69e-05,0.008417159,0.04757931,0.000406626,0.003061894,0.0190179,0.00050015,0.003126954,0.02592241,0.007725895,0.005887945,0.001252408,0.02893958,0.000166717,0.02383235,0.01141806,0.002663401,0.003399394,0.00303343,0.01388628,0.01609019
MMRS15137911ST,13.30135,2.166187,0.1257019,1.570527,0.2501091,2.069126,4.812576,6.384892,0.4063664,0.09579097,0.6666586,0.7747524,0.6604862,0.03100696,0.002992903,0.1307965,2.761486,4.491354003,1.041482,4.949467,0.02770091,0.06756614,0.8547117,0.06100223,0.8386331,0.04614611,0.001240519,0.9639557,3.76108,0.00562449,1.143403,0.8843457,1.007573,1.5724,0.2465743,0.1488262,3.321888,0.9850987,5.283588,1.258705,0.004642914,2.45465,0.5846459,0.1619239,0.02294961,0.5772991,0.09536943,0.03690846,0.02488265,2.084861,1.325019,0.03197047,0.001914976,0.002137788,0.000511865,0.00369747,0.2910764,0.4447984,0.002938706,0.2332537,0.001698186,0.04597147,0.007997134,0.4890657,0.04674228,0.08377118,0.1823563,0.637392,0.2939669,0.000770808,0.01015299,0.001415155,0.08409034,0.01577748,0.007413006,0.2212882,0.02209449,0.2271897,0.2066488,0.000277009,0.03430096,0.001993261,0.06759625,0.003829953,0.118319,0.2981461,0.05656406,0.01264005,0.01911965,0.02524999,0.06606066,0.1541676,0.012905013,0.00313743,0.006238728,0.0134771,7.869794,0.02562335,0.00366736,0.00736483,0.0755693,0.0330785,0.02056492,0.7108235,0.002619543,0.01958334,0.000626282,0.001306761,0.0115019,0.062586,0.004624848,0.004058786,0.04200302,0.05172242,0.001854757,0.005287261,0.004305686,0.002083591,0.02240161,0.00410094,0.4999353,0.004112984,0.00602796,0.01236304,0.004197291,0.001095993,0.06123709,0.004438168,0.2561612,0.000108395,4.118066115,0.1629898,0.000782852,0.003306044,0.04758535,0.000614238,0.01821034,0.06665081,0.007702059,0.04045538,0.001698186,0.09102761,0.000108395,0.01695176,0.03714331,0.2423589,0.00599785,0.01290501,0.03345789,0.1206857
MMRS16644320ST,18.35666,12.82803,5.330815,3.13849,3.926144,1.619365,1.375709,1.108165,0.8719262,2.377932,0.9148299,2.320744,3.236505,1.650452,1.955279,0.9224682,0.2157555,0.324074198,1.233215,0.7492519,0.970143,0.6669365,0.7209738,1.315026,0.4347784,5.411653,0.001324572,0.6697516,1.652935,0.01109776,1.410972,0.4020449,0.0912197,0.2267524,1.25903,1.765674,0.1923851,0.1551474,0.201592,0.2634531,0.00242133,0.4670889,0.2916726,0.453163,0.0878383,0.2905401,0.2506955,0.2747721,0.1107726,0.08749984,0.06788186,0.0107951,0.04574491,1.907894,0.001812743,0.03764127,0.1660271,0.03838329,0.000660659,0.07919767,0.02019728,0.05487046,0.211593,0.2721718,0.06966856,0.03934661,0.1810725,0.07981277,0.08914986,0.000501189,0.004546503,0.002063338,0.0718393,0.01922093,0.004575793,0.02771512,0.2577643,0.07201179,0.006033798,0.000387283,0.3162211,0.000670422,0.02143723,0.003365128,0.04884317,0.06579248,0.0708239,0.005428466,0.008067846,0.1616693,0.03700339,0.05176244,0.004068095,0.01214245,0.01449869,0.004992366,0.002118664,0.395523,0.003674303,0.000862436,0.03150984,0.03893655,0.124347,0.1595116,0.001874578,0.02307423,0.000361247,0.000419827,0.001630492,0.01895732,0.002528728,0.2382081,0.1645886,0.02270648,0.01073977,0.001923395,0.002489674,0.002518964,0.03709777,0.004761298,0.005158344,0.001669546,0.03449419,0.5688368,0.00303968,0.000598824,0.01953336,0.01171286,0.05466543,0.00018876,0.001864815,0.005451247,0.001370134,0.004357743,0.01631469,0.000706221,0.2048367,0.02887371,0.008861938,0.0770725,0.001650019,0.03692528,2.28e-05,0.02171712,0.01882714,0.01036876,0.00950307,0.006866944,0.01004657,0.01033622
MMRS18295921ST,23.23285,18.0678,3.280331,2.358786,0.8087086,1.514028,0.02382647,2.091832,1.48513,0.7225507,1.477394,1.312905,2.934976,1.0505,0.2907734,1.606294,0.4345113,0.023534291,2.593878,0.7220151,0.4845574,0.08066217,0.8063573,0.40761,0.3652024,1.609174,0.003394837,0.8823933,1.286288,0.02190644,2.963748,1.094438,0.7940649,0.2599694,0.3619884,0.5059212,0.1998502,0.2978204,0.1241898,0.0409537,0.006949677,1.453081,0.4227268,0.6137073,1.544811,0.4578995,0.1516059,2.557878,0.1266525,0.2131582,0.3171251,0.3440751,0.007937519,0.006434886,0.00066088,0.01365587,0.1216576,0.070102,0.216198257,0.1471189,0.3324993,0.2002745,0.01696027,0.1002799,0.1100609,0.01141584,0.06558018,0.1110835,0.1954953,0.003478317,0.501455,0.00144698,0.1902431,0.1415953,0.3583362,0.06786196,0.09072841,0.08478745,0.004000064,0.00070262,0.1901387,0.005064429,0.03659885,0.336715,0.04118327,0.105706,0.04997646,0.3125894,0.01355848,0.07304465,0.02486996,0.08121174,0.421878084,0.1143671,0.00132176,0.1823751,0.2072729,0.1569556,0.2205253,0.03370489,0.1063113,0.07343422,0.06128098,0.01407327,0.001739158,0.1087809,0.001022625,0.001620896,0.007471424,0.07691254,0.1549868,0.08585877,0.02700565,0.03458143,0.2436004,0.1330665,0.01092887,0.003290488,0.0567383,0.0152072,0.02171165,0.008069695,0.1438701,0.05244606,0.1221585,0.002420908,0.05105473,0.000208699,0.02823698,0.000243482,0.003860932,0.02233775,0.004904427,0.003506143,0.03764234,0.001766985,0.05002515,0.02832046,0.02655347,0.008779272,0.08389004,0.01378805,0.000410441,0.04145458,0.02064729,0.1274038,0.03533274,0.02116904,0.02143339,0.01933944
MMRS25641480ST,2.521052,19.07694,8.749923,1.467158,1.585282,14.70308,0.06748065,3.952091,0.9812277,2.38323,1.455497,0.1562452,1.451957,1.101929,0.009782174,1.770264,1.011746,1.065319906,0.2199066,11.25945,0.4580162,0.4223618,0.4375987,1.260552,0.2648481,0.9073331,0.0013703,2.478559,2.003383,0.01025957,0.9840611,0.7333846,0.2063451,1.223594,0.08557303,0.02058102,0.6675351,0.3256452,0.1310758,0.01843717,0.007823971,0.2455136,0.448486,0.4798437,0.046546,0.4453475,0.1481029,0.0851089,0.02672969,0.1868205,0.1684364,0.007912378,0.8669491,1.838642,0.000486236,0.003248937,0.1783335,0.05056407,0.000981312,0.06424497,0.006904544,0.03243633,0.003178212,0.0923096,1.479084,0.0676663,0.2029238,0.1239503,0.2180015,0.000950369,0.001953783,0.001586896,0.1258068,0.01309742,0.002020088,0.1706245,0.06932392,0.07461947,0.0174647,0.001242111,0.01084747,0.001113921,0.03768325,0.001418924,0.05876819,0.08195279,0.01204096,0.00246654,0.01262002,0.05367598,0.01728346,0.0678608,0.004623658,0.001392402,0.00109182,0.001909579,0.00300582,0.005383953,0.001984725,0.002068711,0.06824536,0.02461236,0.02878514,0.664295,0.002037769,0.084826,0.000472975,0.00054812,0.003863362,0.04051668,0.000945949,0.000424351,0.06745855,0.01936543,0.000968051,0.00109624,0.003686549,0.003439011,0.03341322,0.003054443,0.003982711,0.003346184,0.02634954,0.001825593,0.001449866,0.001750448,0.2004263,0.0140301,0.03831978,0.000388988,0.002360452,0.05816703,0.000521598,0.003858942,0.0212927,0.000782397,0.00095479,0.03688317,0.017336506,0.004097639,0.000879644,0.02375924,2.65e-05,0.02123081,0.05427714,0.003783796,0.1372687,0.005158517,0.03747108,0.03481888
MMRS34525504ST,28.0566,9.647806,1.278567,3.207493,3.053786,3.129569,0.4810623,2.591404,4.357808,0.4035073,0.9763827,0.5244177,2.203898,1.028696,0.2700962,2.529368,0.1687871,0.082742375,1.35513,0.3075839,0.4496831,0.2176558,0.8478188,0.1419008,0.4738624,3.346488,0.002891306,1.110091,0.9521326,0.009070764,1.44065,1.047376,0.3491535,0.4826922,0.2550444,0.4851725,0.187042,0.2678568,0.2342525,0.07646371,0.01156522,0.1531684,0.6073585,1.07986,1.191147,0.416178,0.1697367,0.5065455,0.2350887,0.2248699,0.3204106,1.106265,0.003798382,0.04314282,0.000623615,0.008971553,0.167143,0.01614313,0.709149495,0.1013941,0.05380097,0.3900854,0.01824074,0.08374866,0.06047648,0.0144707,0.1154396,0.1202018,0.1017485,0.006661342,0.8635793,0.001559038,0.1398882,1.023749,0.6874647,0.1018193,0.0829408,0.09097693,0.008673918,0.006292843,0.01162192,0.004946401,0.0466294,0.6218434,0.0735724,0.08206207,0.08610139,0.3711927,0.01695099,0.07076613,0.02786425,0.05380097,1.025704986,0.1062697,0.04684199,0.3724257,0.0132093,0.0101054,0.4031955,0.004535382,0.08173609,0.1939018,0.09792173,0.01965805,0.004280267,0.06034893,0.000623615,0.001771634,0.002480287,0.09931069,0.4114867,0.02366902,0.02137299,0.03540433,0.05554426,0.2447831,0.01294001,0.02118874,0.04290188,0.06410479,0.01519353,0.002962171,0.02395249,0.02344226,0.2270951,0.001417307,0.04417746,0.00392594,0.03085477,4.25e-05,0.005810958,0.01250065,0.009070764,0.003571613,0.02432099,0.001332268,0.01747539,0.0346815,0.015732106,0.01608643,0.1414047,0.02427847,0.000141731,0.04108773,0.01671005,0.02821858,0.06182293,0.005825131,0.0181557,0.02623435
MMRS42780924ST,28.44482,3.503873,2.896642,3.573989,3.317183,2.925718,0.01877694,5.389816,2.19902,2.981347,0.8015049,0.8989399,0.3237118,0.4224182,0.001249168,0.0838322,0.1431714,3.095649181,3.952802,1.285061,1.417798,0.0125582,0.5014262,3.592675,3.330062,0.1635375,0.002525437,0.1850493,0.5710618,0.02534554,1.40437,0.420489,0.5136912,0.277022,0.8699159,0.02065192,0.2596667,0.6365014,0.6466524,3.256087,0.002895014,0.2766426,0.3403181,0.220908,0.2418211,0.2356073,0.4088227,0.2760389,0.2527926,0.1781136,0.06983266,0.03346143,0.001951362,0.001089018,2.284155913,0.001670484,0.1133441,0.02939363,0.002054844,3.493404,0.003441986,0.05588239,0.001759183,0.07989745,0.06704605,0.0282849,0.08466005,0.1311897,0.1216719,0.001012639,0.007583704,0.000576539,0.06835682,0.02228791,0.01651759,0.1376745,1.184694,0.5069502,0.03867985,0.000362185,0.005684082,0.000877128,0.008497789,0.01185847,0.06390712,0.05118877,0.02665137,0.01640918,0.008406627,0.6669077,0.01850099,0.0572917,0.153361808,0.000793357,0.001559612,0.02083424,0.003222705,0.003434595,0.008381988,0.001707442,0.05630617,0.007859654,0.532175,0.004516221,0.001273806,0.04460292,0.000290733,0.00139207,0.002365288,0.01040973,0.002867911,0.001093946,0.003984032,0.0163673,0.001007711,0.005149429,0.002318475,0.002537757,0.01336141,0.005033628,0.005627414,0.002355432,0.01471406,0.000251312,0.00704905,0.001185108,0.0300909,0.000376968,0.01601251,0.000135511,0.001769038,0.004745359,0.000238993,0.002599353,0.02429101,0.125140969,0.00056422,0.01327271,0.002776749,0.008313001,0.003806635,0.007879365,0.000145367,0.01096656,0.01608888,0.004558107,0.003306475,0.002128759,0.0199103,0.00876142
MMRS43563715ST,21.7432,9.24567,9.900036,2.586636,1.356174,2.296301,0.0976423,0.5486525,1.790297,2.382035,1.10084,1.338985,3.615505,1.210513,0.3235259,3.884371,0.1913964,0.33328504,0.4378825,0.2244079,2.133591,0.7211466,1.312968,1.986121,0.6495671,0.09531321,0.001610476,1.586267,1.139883,0.004748016,1.035042,0.5924625,0.4610644,0.3655459,4.899221,0.02641565,0.3317259,0.4974381,0.1183667,0.572553,0.009406204,2.159192,0.5499036,0.318425,0.06570869,0.4752507,0.3418571,1.707226,0.1029742,0.1110972,0.2147964,0.1715189,0.001982617,1.765165,0.000635208,0.003721418,0.3029619,0.03894656,0.094870488,0.07811128,0.004427204,0.0560715,0.07090584,0.4066291,0.3453347,0.1015113,0.1442242,0.2029648,0.1882139,0.0101569,0.3128622,0.007481333,0.1454112,0.2398325,0.2161951,0.04189161,0.0580862,0.09071918,0.01552729,0.00090469,0.1441857,0.003817661,0.04065328,0.1990894,0.07813052,0.09029571,0.05593034,0.1940976,0.01043922,0.07292696,0.02103243,0.09680819,0.003586677,0.01591869,0.004157722,0.09594842,0.002457419,0.09462667,0.1335155,0.0024895,0.1218315,0.05382582,0.04309145,0.02455494,0.005229234,0.13562,0.000692954,0.001373075,0.006743466,0.04859017,0.09127098,0.01822853,0.05143898,0.02887948,0.01752274,0.06594609,0.005254899,0.004658188,0.03822794,0.001764465,0.004106392,0.006121091,0.01652181,0.00329153,0.05890748,0.002053196,0.0401079,0.000128325,0.04409238,0.000391391,0.009573026,0.009162387,0.003702169,0.003124708,0.02978417,0.000737867,0.001520648,0.02881532,0.023246028,0.01171605,0.04637656,0.0229958,0.000506883,0.0293992,0.01823495,0.01006708,0.005293396,0.003220951,0.0319657,0.03019481
MMRS43939546ST,10.37489,12.57789,4.35468,1.226252,2.519285,3.145353,1.121214,4.387629,3.311108,1.120951,0.7703924,4.310794,0.90993,1.551421,0.003179365,7.181385,1.386035,0.00996622,1.837224,7.125163,2.952366,0.006200814,0.4913557,3.816561,2.629096,4.362169,0.000786068,1.381827,0.06014825,0.000740448,0.2934771,0.4150826,0.3744737,0.1822871,0.05306661,0.0442444,0.4521541,0.2324656,1.105808,1.761968,0.009211735,0.5378881,0.1812133,0.144998,0.007422027,0.2915892,0.5108706,0.1449173,0.0341308,0.08460058,0.09823044,0.01040838,0.001182611,0.000838707,0.000322849,0.001740579,0.1378707,0.3088019,0.002712637,0.09865506,0.002344167,0.008194058,0.00425319,0.1240373,0.01252094,0.02799315,0.1013677,0.1287713,0.1305996,7.72e-05,0.002456463,0.000975567,0.1240093,0.08680087,0.001003641,0.1607579,0.04129665,0.0954406,0.4190164,0.000586042,0.007485193,0.000312322,0.004863796,0.005948149,0.03886826,0.05657936,0.05698292,0.001063297,0.01108216,0.03248497,0.01107163,0.08218623,0.004484799,0.06904064,0.001466859,0.001049261,0.000424617,0.005390181,0.000905382,0.002484537,0.1370776,0.02107294,0.02205904,0.01098741,0.000835197,0.00571654,0.00063868,0.000494802,0.001080844,0.01884107,0.00114401,0.001530025,0.05177522,0.03644338,0.002849497,0.000898364,0.001505461,3.34666,0.04682018,0.003804008,0.02986357,0.006123611,0.01578453,0.001182611,0.000631662,0.000621134,0.0251998,0.000115805,0.01538448,9.83e-05,0.001186121,0.01046804,0.000350923,0.001351055,0.03284993,0.000663245,0.001115936,0.01739176,0.071591854,0.006523663,0.000628153,0.02982848,1.05e-05,0.02366626,0.01227179,0.004807649,0.003060051,0.003625037,0.01294556,0.01049962
