Node,MMRS51410669ST,MMRS34569532ST,MMRS38954404ST,MMRS84954772ST,MMRS12272136ST,MMRS85382779ST,MMRS33294861ST,MMRS84159866ST,MMRS65862658ST,MMRS11288076ST,MMRS81671217ST,MMRS29805707ST,MMRS14602194ST,MMRS93508324ST,MMRS39582183ST,MMRS93621581ST,MMRS77487595ST,MMRS51737257ST,MMRS94549160ST,MMRS21365932ST,MMRS43563715ST,MMRS57276462ST,MMRS95479054ST,MMRS90191266ST,MMRS79893829ST,MMRS88581325ST,MMRS67247116ST,MMRS54246132ST,MMRS38861560ST,MMRS32573774ST,MMRS71762412ST,MMRS62666492ST,MMRS44587603ST,MMRS72802364ST,MMRS54316675ST,MMRS34525504ST,MMRS97307143ST,MMRS43939546ST,MMRS77018926ST,MMRS42780924ST,MMRS61683006ST,MMRS18295921ST,MMRS25641480ST,MMRS65742083ST,MMRS97052561ST,MMRS77321055ST,MMRS95277876ST,MMRS16644320ST,MMRS62376181ST,MMRS81135225ST,MMRS78791111ST,MMRS64281551ST,MMRS20257302ST,MMRS66868025ST,MMRS51307502ST,MMRS86178473ST,MMRS65205033ST,MMRS91297590ST,MMRS72980899ST,MMRS86168210ST,MMRS73787048ST,MMRS81194191ST,MMRS55294627ST,MMRS15137911ST,MMRS97327636ST,MMRS35808664ST,MMRS65945127ST
Odoribacter splanchnicus,0.007926579399209505,0.0034081056171737247,0.01956480815800866,0.00749417207243955,0.006984240028660399,0.0037992096580476966,0.014229770567156588,0.004761862055250946,0.01427297272367695,0.0048192413182101,0.003985395107261182,0.014671372256608417,0.012472336151571003,0.0021277449283615777,0.011191461264013033,0.022212560855054114,0.0356217007211554,0.0037801578830543607,0.02903885963232202,0.0003549883152103319,0.006007968412380056,0.008467651249918714,0.004533142118311591,0.0,0.014923111591940888,0.004763873864077816,0.007625617799820916,0.0007269781018657255,0.0024038952171668545,0.0,0.006879160091375635,0.001678996440614276,0.000712950297428202,0.04793291593005964,0.005850179820553516,0.0,0.014526389164532937,0.010362706982827579,0.007661585267794418,0.020669779182597405,0.008914573549811467,0.0037141153060605975,0.0094017867194159,0.001825479047899327,0.009483853358813688,0.0,0.0,0.0,0.006322945159154385,0.02386649331781474,0.005107139112233509,0.021535205526901184,0.0700682325340525,0.0010574523992299863,0.0006226441117620192,0.0024796840586314268,0.0690158231399394,0.0013525735273555038,0.0012515863401690167,0.006322825946879292,0.01561904761904762,0.002712007387579907,0.005229665940450254,0.0,0.02657060931899641,0.05050442913385827,0.0
Christensenella sp. Marseille-P3954,0.04394208414756401,0.06441406627762014,0.01796248805651996,0.027767764754399814,0.03177548946779716,0.0517399659492487,0.053420177143581396,0.05134532072078969,0.057788536935571046,0.04738123598746798,0.04618368648719614,0.03161856591692353,0.03475223848315715,0.045908054579823936,0.04403541473095847,0.07453479818772518,0.0305307073454013,0.04495635851258952,0.06308112556394346,0.05165177913812711,0.06441735696259254,0.014906182888138825,0.04366567985298932,0.061856467730378034,0.04279456460842667,0.03962168294231412,0.03957648525118879,0.029918611253248503,0.04502345871930725,0.05087798677750877,0.022554588975263093,0.0508246502606746,0.06234129589301262,0.051512155478094235,0.07879935745907742,0.05428206823795527,0.05262409054626154,0.05378785823882618,0.0302533503473046,0.04625295826906082,0.06585690828128238,0.03265865729131849,0.053995645647040236,0.06762394891250853,0.04725099014470269,0.048621569494284485,0.06746584511806034,0.03058747436188342,0.047703005465351965,0.058947105101188724,0.03203561864587368,0.05173196608501289,0.050814262421344764,0.00748720531889274,0.052275532463796424,0.03172349583405632,0.08393190121391222,0.06406008464511372,0.07051427245824152,0.005511583348155174,0.055191181657848316,0.031077704776525036,0.04000259363004461,0.03255746662360033,0.044035149259342814,0.0983636811023622,0.03491496598639455
Dysosmobacter welbionis,0.023999488447784184,0.021151147793041423,0.04487109712433581,0.01714394239952463,0.08322371060046296,0.0721172432683016,0.023974484332551345,0.09152844314007169,0.04288137173252706,0.05081039890828071,0.04821504189788178,0.056865175934890884,0.031499098737451776,0.025203503159819708,0.015119966307212964,0.047613850526348825,0.06162192942775813,0.03499081540070277,0.02924738357068307,0.05546214787139205,0.0267663354848713,0.08612102386080671,0.025916788721864245,0.01714190348019523,0.005303594823619139,0.023487364757732325,0.0301749992666146,0.032066581536462316,0.1069198914734655,0.06049598454635821,0.03569865052245145,0.019920586774776497,0.08036310403066292,0.0822957195714548,0.03496416330124832,0.02185762672838771,0.004943263498528784,0.031214294348418093,0.06123676065616861,0.06223425207618169,0.018238745377655532,0.05784340080591936,0.035129146879631507,0.0337522100851109,0.09236206747186493,0.08413672544705116,0.008707291353296604,0.029033650295258336,0.07672005359559653,0.05362565905961852,0.0364548091610668,0.013310754722476522,0.026004229675898133,0.024541607431259636,0.06921145621788531,0.05378390933013656,0.052258511938407165,0.028533621906890537,0.060418747449765574,0.047130809003275126,0.046520772349343764,0.030679117208701142,0.0689479642543368,0.045412905623661425,0.06421068696220499,0.021078104761052582,0.07916927882264019
Oscillibacter sp. PEA192,0.028067116050400232,0.04905602707252309,0.0875860226842107,0.02849449904244017,0.04137042807805034,0.0484265346558042,0.033841592306811524,0.039869656464915276,0.055114520810258374,0.04607173798032507,0.03237513964145445,0.05191115160714534,0.028621778610214667,0.042030536433674756,0.041462052143043764,0.08219873146114418,0.04615739482392346,0.05723134526504812,0.04787362191324238,0.07124839305261958,0.07107660651918145,0.04629535647635028,0.060097267892443774,0.02534421548254935,0.06785044220053428,0.052714469181834395,0.04889758034009787,0.027693428614992174,0.05561524092824005,0.0600213555000661,0.035519030247967084,0.05668241343961652,0.04951799846122627,0.04471686377718217,0.08886330355754768,0.040683072381628285,0.030953803831718196,0.033746607990432276,0.048773073689834266,0.03881475796079443,0.04569414666246956,0.08551372318158308,0.10186425605523963,0.04215984924606298,0.07924861670611984,0.06393389601029928,0.01889450765543288,0.029192295031876793,0.07248573020904844,0.13248567113648138,0.04717441649852764,0.06941241398883964,0.03097859104517145,0.05825573397499282,0.11221200271423686,0.009221343325680401,0.03759946113507456,0.01165916340334945,0.052567191868270455,0.09313434004160155,0.04912837624042103,0.07306906366002554,0.06942311440677457,0.03823546934466267,0.07626895352059641,0.045444155646428196,0.08119826971192509
Streptococcus parasanguinis,0.005855484586055882,0.011581647558783166,0.018130485168141742,0.003438032555679615,0.0029473969124490067,0.006540864921320423,0.003284846863524404,0.00203772339189006,0.0023869225800945224,0.008273105572326425,0.007948032535477377,0.005004036412387993,0.006244031199853954,0.03193104907352993,0.010822365865212697,0.013734676741750544,0.008238961971740379,0.017076961452967172,0.020425140771819252,0.0,0.0072142227022406885,0.0,0.0015584048023364774,0.010204133032280531,0.0072890518142344355,0.004726425773549005,0.00838080413731872,0.0,0.00283815103881439,0.005633125243407167,0.011790192060694423,0.01563523685867613,0.011710777684838164,0.011782869641384369,0.03338575569245526,0.0042096604219739745,0.004623714000903217,0.011165886838409094,0.006370143965084239,0.0038182032991650374,0.009134048145013752,0.018952794793130927,0.005268017372433608,0.006024552224046122,0.01908224820291166,0.0056580465784445855,0.03898484823505914,0.007731657402777645,0.009584443033905756,0.02451310642866967,0.013352338719829214,0.013102154258803797,0.01644594501789819,0.005171797077135374,0.016018132370254744,0.0048375434455766855,0.02988530659106351,0.015348446571193662,0.0014416255496472025,0.023110103230526133,0.01138750341887597,0.001056365178502583,0.019660490804281658,0.00790897067241544,0.011778525290859251,0.007443085949483591,0.00962729536258948
Streptococcus sp. HSISM1,0.010703817702176007,0.01409596794576398,0.0075648798012248305,0.005535846089663362,0.008897697631751392,0.011861066869366358,0.0060917756658939335,0.005608655503031961,0.0023869225800945224,0.005256261762854511,0.007113427406057253,0.0048924634199892245,0.009033769406631318,0.0015781612634727224,0.009711042183190466,0.007174181327612553,0.007054483714553753,0.0,0.001169234928359016,0.019985613287402643,0.010821551812384934,0.015918000409975704,0.016835411126241456,0.005749756266473591,0.006149463163895873,0.0058948255599178745,0.006515115792993717,0.011248305075095605,0.013813334535600397,0.005633125243407167,0.01899951224768743,0.009458151859412567,0.009126841930234301,0.0067274463610521905,0.01590730099936371,0.006594333453531589,0.015304656270538392,0.0052645043779977595,0.0010324642156397845,0.006454825414986401,0.009134048145013752,0.016916958752288627,0.00021783181357649446,0.003950225760636825,0.015011027443588532,0.00391965138233795,0.003629608194011947,0.0012652549574440632,0.00686804520758345,0.0008904677500235834,0.00587173690674314,0.0009191907856479735,0.009352878859782658,0.016910207416361615,0.009187850316626639,0.0048375434455766855,0.005648551625434129,0.010434883336409498,0.0022417966237804707,0.008421229763026717,0.01138750341887597,0.010333720049195414,0.007974807206833351,0.0019961607352595723,0.012235661292112909,0.014022745558793792,0.013702592147970295
Bifidobacterium longum,0.01468712489770131,0.023628341759551457,0.0450344669950864,0.01846310514981175,0.03706109839421489,0.015815656850204945,0.003992057654783386,0.018504110607186687,0.013067695501847713,0.04344998763088555,0.021233627160905457,0.025242631704639838,0.02196811315097094,0.02481294681497991,0.03501814357246833,0.03411069814049287,0.04014445815183577,0.015094907238300757,0.0,0.027923402020769972,0.010621576667706842,0.03987686380944532,0.013523825542222945,0.028106831649653025,0.0035239769308396756,0.0108304074348934,0.028030953644802053,0.017570639070016075,0.018399153635009588,0.008097557802592999,0.023348944211749566,0.038598400712798867,0.011233778472303894,0.037906672116340405,0.04737998160462733,0.005703356256868682,0.052863863906028784,0.013747080146037241,0.012495212364493406,0.02586019352006671,0.028648085320668894,0.04894870354193575,0.030665779490965103,0.04558730164923048,0.018915797301246727,0.02196055883403459,0.012451710030374116,0.018646756064536123,0.06007561683318732,0.043361599275655235,0.04670235837639773,0.03518063650365433,0.06476879232932772,0.018452891554406912,0.05982461443601332,0.029560803885318374,0.02926128087361309,0.0,0.0728858129193456,0.07904806495602243,0.04369745069745071,0.016019489865777167,0.017070551997022582,0.04768654041909856,0.07764666109216195,0.047674052733884885,0.04756252501000405
Alistipes sp. 5CPEGH6,0.02804160885895976,0.047417547244907376,0.029939995819538812,0.024888835198977343,0.007656809904913913,0.007969905351583326,0.010025040563801674,0.018394135279939872,0.02283603535792865,0.013067919236721787,0.03363296101560666,0.03806798135390639,0.043738171475921676,0.025473711401353655,0.03096154248524798,0.026407084962673823,0.027208569257633566,0.011776244495715262,0.0,0.016794793352544114,0.02001181797838973,0.031525614038171904,0.0012332898458160668,0.011437158275170079,0.022643137634006518,0.00229631861688445,0.008416642404961778,0.0245113453328921,0.024311084361917167,0.030013230440942257,0.04090224544550436,0.054376639173637546,0.030641244773315524,0.039655689008613444,0.03290089930210864,0.013295552755248095,0.06277379192746177,0.019713870309954355,0.02331765083505634,0.05628023692615499,0.009960280846740796,0.07910465043254952,0.010533493861761336,0.023229155742643524,0.026183697927790177,0.042243881663450486,0.04967258973852596,0.0,0.01734637518538129,0.03349221244122713,0.012719439352642827,0.0,0.06017426318831937,0.0046779801671764905,0.05305499440927971,0.020742930345982097,0.019175426127507823,0.05674410914236496,0.07623986534525104,0.081367287260764,0.04710169266359742,0.060116937320268335,0.03172473405316543,0.01885725069773035,0.10911332986730975,0.061329256200833016,0.00917366946778711
Pseudobutyrivibrio xylanivorans,0.026545772547670453,0.02068254669366554,0.010406581242671284,0.01978846743968126,0.02897687897577427,0.03132911734080442,0.0034760337224942883,0.0354669061767311,0.016755252401410313,0.025581496705833467,0.02680693154421611,0.0058667546466126185,0.021994325494028022,0.045366975569370485,0.02872048576738511,0.005172551842963619,0.04649410501283295,0.03347938365281472,0.040267238339699744,0.029527898098559643,0.02519878491379424,0.019183868274244495,0.010788704508584608,0.025370515159254845,0.03620352095944733,0.03449194869947907,0.03480146522248101,0.01818343811258064,0.02416878554717856,0.00838664834862767,0.018898367499097034,0.030481795703417285,0.009632891059741496,0.015967465455301564,0.009657554371508127,0.027870395932316206,0.017185435371137717,0.037150912312200614,0.03761130920036149,0.02254888548597605,0.02005106518659639,0.05832559445074893,0.031573560003288884,0.011071653988153922,0.020121592754840188,0.008467026385278265,0.017380350492885728,0.01642867438602279,0.01193290601820038,0.0032328179385308206,0.02160666515251472,0.033317211952028365,0.010440655427774365,0.013358975451737434,0.01590326369464886,0.02729373077859426,0.010537656419151201,0.035387526112453445,0.012417646125200263,0.0015509094447331779,0.009275297189582905,0.0,0.012830850310425463,0.021083787081243466,0.0,0.008362493395711903,0.0770933221773558
Butyrivibrio fibrisolvens,0.020735942339059708,0.01709646190624077,0.021980033611595878,0.01877163120499481,0.024183899971111752,0.019420308002729387,0.020027326146752913,0.010444796415599254,0.021545335778596304,0.01861783611079654,0.02022937498051301,0.021253152408806222,0.022554337186173327,0.026987262259397033,0.027914599008572117,0.02632307605352181,0.01933819277255621,0.048690274327373134,0.038510353680558454,0.022997449733513035,0.013235853021374986,0.017783979928387223,0.03297994509986917,0.016586921223791087,0.03139950786871759,0.04048345928044643,0.0311168891082163,0.02220858182045374,0.015375207097560193,0.025929098311475652,0.016339812331602813,0.027813772973963716,0.017606522023910803,0.016433729114625185,0.03044362880798121,0.027140107052221422,0.03217093207611077,0.042880696281050915,0.01865206751033157,0.008952346177104227,0.02005640604832418,0.023981692388221516,0.01339570476473748,0.030952325221222415,0.0011209767452564226,0.02860132382426127,0.0530217913586842,0.008399784229962194,0.004650091816520165,0.060548009572503794,0.020221480009463225,0.02451331687473801,0.012888146600703117,0.006488987135187221,0.026430765368606456,0.041782085606284255,0.006716114282605138,0.04166311850990372,0.0,0.008654663312886769,0.0395943322990942,0.053078500970589804,0.004536901914352894,0.01693659148237636,0.01574193548387097,0.007878178935019487,0.0688502016968404
