Node,MMRS51410669ST,MMRS34569532ST,MMRS38954404ST,MMRS84954772ST,MMRS12272136ST,MMRS85382779ST,MMRS33294861ST,MMRS84159866ST,MMRS65862658ST,MMRS11288076ST,MMRS81671217ST,MMRS29805707ST,MMRS14602194ST,MMRS93508324ST,MMRS39582183ST,MMRS93621581ST,MMRS77487595ST,MMRS51737257ST,MMRS94549160ST,MMRS21365932ST,MMRS43563715ST,MMRS57276462ST,MMRS95479054ST,MMRS90191266ST,MMRS79893829ST,MMRS88581325ST,MMRS67247116ST,MMRS54246132ST,MMRS38861560ST,MMRS32573774ST,MMRS71762412ST,MMRS62666492ST,MMRS44587603ST,MMRS72802364ST,MMRS54316675ST,MMRS34525504ST,MMRS97307143ST,MMRS43939546ST,MMRS77018926ST,MMRS42780924ST,MMRS61683006ST,MMRS18295921ST,MMRS25641480ST,MMRS65742083ST,MMRS97052561ST,MMRS77321055ST,MMRS95277876ST,MMRS16644320ST,MMRS62376181ST,MMRS81135225ST,MMRS78791111ST,MMRS64281551ST,MMRS20257302ST,MMRS66868025ST,MMRS51307502ST,MMRS86178473ST,MMRS65205033ST,MMRS91297590ST,MMRS72980899ST,MMRS86168210ST,MMRS73787048ST,MMRS81194191ST,MMRS55294627ST,MMRS15137911ST,MMRS97327636ST,MMRS35808664ST,MMRS65945127ST
Odoribacter splanchnicus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Christensenella sp. Marseille-P3954,-0.005828781246464078,0.005878083132495646,0.0,0.009163093153336625,0.0,0.006538129006637124,0.0,0.0,0.0,0.0028176212006429096,0.0,0.0,0.005333753617450933,0.0,-0.003358862401109853,0.0,0.0,0.0,0.006782213771242938,0.0065833571578951195,0.004098411656455233,0.014325261327240425,0.0,0.003288949181684284,0.0,0.0,-0.005607974012547579,0.025538519597382663,0.0,0.0,0.0,0.005047699570412385,0.004934825486542489,0.0,-0.0020518660444370277,0.0,0.0,0.0,0.0,0.0,-0.008603044606134336,0.0,0.0,0.0,0.0,0.0,0.012551160806234167,0.040291340215508994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0021457840507802715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dysosmobacter welbionis,0.006947104045014522,-0.012673803356487481,-0.009522519848278153,0.02263519660691125,0.005786874788619583,0.0026094626047756444,0.012526704549378842,0.0024702828141696426,-0.019499473894257203,-0.02338752234374812,0.018088482304865136,-0.004210513707018,-0.008418094222057158,0.032080006986074376,-0.02488325030260192,-0.010335531156614092,-0.014376169629046654,0.008545602442133107,0.014098295387780322,0.01125462138830914,-0.011695801566476208,0.008435907858954405,-0.0064035682801360655,0.007455035249640403,0.021068140588364846,0.03876530297632351,0.025842846239281257,0.009387108554201079,-0.008066855694328957,0.0013384137333130608,-0.011699139908550574,0.0070405708649704975,0.0040852187398164935,0.007274938489143031,-0.041960073201785415,0.016863706458384895,0.09457122566525938,0.0341629605985535,0.0031573832463381063,0.011824342597427203,-0.014640496702457447,0.03627614599960337,0.024116803850509662,-0.01012560573074593,0.02206626306485995,0.03433386032323371,0.020420706750473323,0.10062608262544907,-0.004252515531364793,-0.009414426165591747,0.01350260509982158,0.02127084996502239,0.017697211108083737,-0.0003782597570152868,-0.014980598230673162,-0.0031968477998097944,-0.001046009797506162,-0.012139323334232408,0.0,-0.017221117260547814,-0.031344930753529655,0.007730467285863153,-0.01075229204142524,-0.061240539811752134,0.0005259664741446697,0.0,-0.036504776326379294
Oscillibacter sp. PEA192,-0.009960912184705989,-0.008413289991875409,-0.0030781694358388316,0.017286196170624487,0.0037470909045112274,-0.00619115363867529,0.004453086521577068,0.010527346108870279,-0.0016228817906504464,-0.003078587795758021,0.022373739834163513,-0.001975163582267757,0.0004027722488646391,-0.004384769998449097,-0.0037269884774141305,0.0006294622405731761,-0.016215986542856924,0.0034834897575370554,0.006211240264260552,0.001423906883540095,0.0007058921241842033,0.009988982594391417,0.006541509302021324,0.004579937599356213,-0.010576561286448497,0.027136465477150755,0.006334492393481886,0.021106156450554883,-0.004628216386908404,-0.005489920415412619,-0.00217800925097068,0.013209427451671528,0.0006501860127822782,0.005851944239351162,-0.010227716831012767,0.00648938600968842,0.026620491295581344,0.032733558841355606,-0.0006927536946700788,0.012994299484957268,-0.005718180061059526,0.025429743633830736,0.00956875744745525,0.010629531238390366,0.023282461360370398,0.019441330043811208,0.011548669977549476,0.0792686941659985,0.012882779258111605,0.00016209510179632236,-0.005755664722599866,0.004473166590796911,0.01993672236898934,0.005107116037734071,-0.016718686899212517,0.0031148448146291843,-0.03275705444835979,-0.03205303249064648,0.0,0.006780983270925873,0.001649561749268444,-0.0014312475811124703,0.004994693794923107,-0.0438895431077527,-0.0036984750168458447,-0.10362840947006216,0.0
Streptococcus parasanguinis,-0.02506593574407042,-0.05185755364852427,-0.003788594327612288,-0.08667318873947978,-0.07123663821415742,-0.11702134553441695,-0.09575903417794174,-0.16804443173026248,-0.02807458857351099,-0.053404452484186724,-0.02714027860277334,-0.044301427993476174,-0.11265770334431123,-0.008117085982469375,-0.04323430635116502,-0.06595157207675498,0.004343712453081891,0.0,-0.05986014793023876,-0.14123456553993963,0.0958712643211853,-0.3651317140054098,-0.02991931254546974,-0.027354967600047048,-0.039211319125149253,-0.041261699432563255,-0.0735242636244766,-0.11628937307987755,-0.04529515911564128,-0.09441162492269935,-0.027253991332567812,-0.021092931135244714,-0.09113520555426993,-0.018529992856813067,-0.012151005391729374,-0.06746741094551661,-0.15242545568588117,-0.009823290155915338,-0.01003010520518978,-0.0013296800396617552,-0.08504033717093491,0.023757123840952896,-0.0876907061254769,-0.09272193909602233,-0.03440533589663795,-0.15795563423098571,-0.025618477514656374,-0.09351591109605001,-0.05994671930657445,0.004120838524050784,-0.02727649050428595,-0.055615923308648306,-0.022923959926997278,-0.03387142995807394,-0.039878849642265936,-0.014732404948718185,-0.14909545923365686,-0.04705767552791331,-0.20896529245462828,-0.10956251252812947,-0.18411548033440162,-0.0017146547594037997,-0.05581233955264466,-0.1143984839720011,-0.0425734201212781,-0.2418694876176417,-0.37705775984491813
Streptococcus sp. HSISM1,-0.03329038558651032,-0.05185755364852427,-0.03156137979890637,-0.07860434474386324,-0.04274198292849445,-0.07021280732065019,-0.04787951708897087,-0.08402221586513124,-0.028074588573510986,-0.04590476553227259,-0.0448011933087166,-0.044301427993476174,-0.08654880405499273,-0.06912813701247429,-0.04323430635116502,-0.10991928679459162,-0.003859461745822773,0.0,-0.1995338264341292,-0.014123456553993963,0.03417371366833073,-0.03651317140054098,-0.01495965627273487,-0.04559161266674508,-0.039211319125149253,-0.041261699432563255,-0.102033998408065,-0.038763124359959183,-0.022907458227951056,-0.09441162492269935,-0.040171511885235184,-0.03515488522540785,-0.09113520555426993,-0.027649165346575577,-0.04841291335192366,-0.06231439152758013,-0.03939602031667573,-0.01637215025985889,-0.06329519511655447,-0.025753585474186304,-0.08504033717093491,0.023757123840952896,-0.16655288278129307,-0.10727916788310177,-0.055248747884731386,-0.2293717435911011,-0.05123695502931275,-0.1441508867051269,-0.08738991378728245,-0.023763534200065967,-0.04546081750714325,-0.1853864110288277,-0.0382065998783288,-0.00837920594215876,-0.06646474940377656,-0.014732404948718185,-0.34957849343620423,-0.038034694387705625,-0.17696236386524256,-0.18260418754688246,-0.18411548033440162,-0.030976549592912277,-0.09302056592107444,-0.17119743185022204,-0.03948499104454465,-0.2418694876176417,-0.2868862955517071
Bifidobacterium longum,0.009338289861482458,0.021093187332673534,0.00389184462473747,0.021885088141683273,0.04690672717676479,-0.014774491902301963,-0.007371182353814815,-0.003186540300039547,-0.016160891432424027,0.0027157616694443894,-0.004846922499116707,-0.005126725242434305,0.04260896452139673,-0.0032652591524091573,0.0,0.03002744564499558,-0.010845631937014953,0.0010816116658663721,-0.11452402608976098,0.0031122984012345615,0.0,-0.002308833719212466,-0.008965403013139016,0.020051389489691922,0.0,0.0,0.0,0.08240672225942956,-0.024463537103732606,0.05469964740068709,-0.002519516658169612,0.009756956311718721,-0.08650347668069458,-0.006396822728894932,0.002430134161145159,0.0,0.15548598144002998,-0.03386409320004423,0.0,0.0,0.0026489328810613516,-0.015023456872481586,-0.02603936031283879,0.0008475295157514218,0.0,0.0,0.0,0.0,0.010321402936654225,0.0,-0.0126839879035183,-0.025338680413240233,0.0,0.0,-0.016621984353321555,0.0,0.0,0.0,-0.05429170152153118,-0.019069304858561315,0.0,-0.07760474928646477,-0.055958480091459456,-0.02191155626528378,-0.03703351158361261,0.04378899034960948,0.0
Alistipes sp. 5CPEGH6,0.0,0.006256498373086407,0.005641435567119079,0.009077135699788186,0.08544138082081798,0.0,0.0,0.02149067574156855,-0.001306011717778179,-0.012413853585381709,-0.002489663840537389,0.0009396763097974163,0.006264679766916568,0.006321038992617225,0.0,0.01801646738699735,-0.0025849608728118656,-0.013353847235822712,-0.11452402608976098,0.0,0.0,0.0,0.0,0.020342801671949594,0.0,0.0,0.0,0.030699543758292914,0.0,0.010939929480137419,-0.0010078066632678447,0.010797278927638756,-0.032965296200823564,-0.00963069233096886,-0.0108457882255143,0.0,0.06625509607940692,-0.025381262669399832,0.0,-0.005941027109843615,-0.014767386716684044,-0.0091762558575294,0.0,-0.030626249992706557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0702751056253265,0.0,0.0,-0.0047846262850530065,0.0,0.0,0.0,-0.06438618012455263,0.0,0.0,-0.02512611893732199,0.0,-0.036519260442139635,-0.0009506895160189774,-0.0022263051547284918,0.0
Pseudobutyrivibrio xylanivorans,-0.01938735243866976,-0.0006656983433054796,-0.013463283766373626,0.01124726121818418,0.010399007808542146,-0.006269077717881499,-0.0186340002387672,-0.007456136171686842,-0.006175237461989406,-0.013468145818734198,-0.0033131616671700013,-0.017990139914313558,0.00684295663877353,0.0029145694971586997,-0.016472608719009945,-0.05537918514818086,0.0051913396104706555,0.009503738798073274,-0.017323706411333194,0.003942567419094667,-0.007250047100024753,-0.012132849818557974,0.0,-0.02328589187454455,0.012956214442946229,0.0018701956223794547,0.0048973455244503755,0.0,-0.0019084627284675036,-0.010068033058231719,-0.013263863867658965,0.0,-0.016679663394512063,-0.017157568176337304,-0.04702845491464253,0.01601133202391513,-0.022304518227365695,-0.018770547427205946,-0.014399980191754026,-0.006807536395423705,0.016785748829272713,-0.05455808890105758,-0.0027696609229940733,0.022119708716281196,0.008544190530413193,-0.06865298526139187,0.0,-0.05876003050783825,-0.010966076811824751,0.07206149117988296,-0.026802947462468606,-0.004793143587883728,-0.03474312467555646,-0.02947288500153687,-0.03115956412023716,-0.005406389411148698,-0.13720215882017833,-0.009960589769998904,0.02627308137826248,0.0,-0.04013701039677681,-0.37291217039895097,-0.06524201298135644,-0.029314092711743,0.0,0.0,-0.07194199627831974
Butyrivibrio fibrisolvens,-0.00800422357831319,-0.005708966031467574,-0.006725175927572998,0.002575965037337086,-0.0024580068762064056,-0.014639828787307605,0.010429985790808748,0.00795806039438317,-0.009840655426224408,-0.014715136021593593,0.002351635559585665,-0.014324791490999996,0.003356767478585882,-0.00659729428926361,-0.010260808181708613,-0.006936742309275644,0.0100359018026167,0.009806956197578954,-0.0029141088749293836,0.007826240382121132,-0.0015515759455399384,-0.025783059716287034,0.0,-0.011697312478054788,-0.0007675027263961924,0.005958813717473241,0.014953095394281897,0.0,0.01714494698075654,-0.0077333531866594935,-0.01493427031877348,0.00609920825547823,0.0006280380432098257,-0.009076833743789602,-0.014851877062501429,0.01250249284135694,-0.026817145580351413,-0.0027188909699124675,-0.030239958402683453,-0.017018840988559263,0.013122506200592526,-0.09204784994101362,0.0011991780312030724,-0.0011803366555490993,0.02848063510137731,-0.019615138646111963,-0.0063650634962356,0.0,-0.018276794686374585,0.003934848106660175,-0.026802947462468606,-0.004793143587883728,-0.03474312467555646,-0.04212789819095234,-0.01357832987919348,-0.012006278740659146,-0.12420152358691226,-0.018359813293919728,0.15763848826957488,0.0,-0.007607163500750066,-0.006296907289174237,-0.026092388762323174,-0.04885682118623833,0.0,0.0,-0.0036640816443014907
