rownames,labels
sample_1,36.0
sample_2,11.0
sample_3,4.0
sample_4,46.0
sample_5,49.0
sample_6,12.0
sample_7,30.0
sample_8,48.0
sample_9,44.0
sample_10,12.0
sample_11,20.0
sample_12,4.0
sample_13,33.0
sample_14,5.0
sample_15,32.0
sample_16,39.0
sample_17,0.0
sample_18,31.0
sample_19,24.0
sample_20,11.0
sample_21,21.0
sample_22,24.0
sample_23,13.0
sample_24,13.0
sample_25,35.0
sample_26,39.0
sample_27,6.0
sample_28,16.0
sample_29,21.0
sample_30,24.0
sample_31,29.0
sample_32,20.0
sample_33,41.0
sample_34,34.0
sample_35,28.0
sample_36,5.0
sample_37,10.0
sample_38,8.0
sample_39,6.0
sample_40,34.0
sample_41,13.0
sample_42,5.0
sample_43,23.0
sample_44,18.0
sample_45,17.0
sample_46,17.0
sample_47,12.0
sample_48,28.0
sample_49,19.0
sample_50,38.0
sample_51,13.0
sample_52,19.0
sample_53,32.0
sample_54,5.0
sample_55,3.0
sample_56,15.0
sample_57,20.0
sample_58,30.0
sample_59,36.0
sample_60,33.0
sample_61,13.0
sample_62,32.0
sample_63,4.0
sample_64,24.0
sample_65,37.0
sample_66,39.0
sample_67,33.0
sample_68,17.0
sample_69,3.0
sample_70,31.0
sample_71,6.0
sample_72,42.0
sample_73,17.0
sample_74,38.0
sample_75,17.0
sample_76,6.0
sample_77,6.0
sample_78,8.0
sample_79,23.0
sample_80,23.0
sample_81,16.0
sample_82,4.0
sample_83,41.0
sample_84,5.0
sample_85,1.0
sample_86,39.0
sample_87,4.0
sample_88,8.0
sample_89,34.0
sample_90,1.0
sample_91,6.0
sample_92,34.0
sample_93,24.0
sample_94,33.0
sample_95,18.0
sample_96,17.0
sample_97,13.0
sample_98,42.0
sample_99,13.0
sample_100,22.0
sample_101,5.0
sample_102,13.0
sample_103,4.0
sample_104,16.0
sample_105,10.0
sample_106,8.0
sample_107,9.0
sample_108,13.0
sample_109,24.0
sample_110,10.0
sample_111,34.0
sample_112,31.0
sample_113,17.0
sample_114,8.0
sample_115,26.0
sample_116,12.0
sample_117,5.0
sample_118,21.0
sample_119,21.0
sample_120,16.0
sample_121,6.0
sample_122,36.0
sample_123,13.0
sample_124,48.0
sample_125,21.0
sample_126,34.0
sample_127,17.0
sample_128,44.0
sample_129,7.0
sample_130,36.0
sample_131,34.0
sample_132,30.0
sample_133,6.0
sample_134,30.0
sample_135,8.0
sample_136,5.0
sample_137,40.0
sample_138,47.0
sample_139,4.0
sample_140,25.0
sample_141,1.0
sample_142,45.0
sample_143,0.0
sample_144,12.0
sample_145,27.0
sample_146,14.0
sample_147,23.0
sample_148,13.0
sample_149,4.0
sample_150,5.0
sample_151,23.0
sample_152,21.0
sample_153,1.0
sample_154,31.0
sample_155,32.0
sample_156,9.0
sample_157,36.0
sample_158,39.0
sample_159,34.0
sample_160,34.0
sample_161,43.0
sample_162,34.0
sample_163,37.0
sample_164,6.0
sample_165,21.0
sample_166,23.0
sample_167,41.0
sample_168,5.0
sample_169,47.0
sample_170,19.0
sample_171,4.0
sample_172,20.0
sample_173,37.0
sample_174,5.0
sample_175,6.0
sample_176,41.0
sample_177,14.0
sample_178,27.0
sample_179,28.0
sample_180,13.0
sample_181,39.0
sample_182,34.0
sample_183,7.0
sample_184,34.0
sample_185,26.0
sample_186,43.0
sample_187,34.0
sample_188,20.0
sample_189,47.0
sample_190,5.0
sample_191,36.0
sample_192,17.0
sample_193,7.0
sample_194,21.0
sample_195,13.0
sample_196,34.0
sample_197,29.0
sample_198,13.0
sample_199,33.0
sample_200,18.0
sample_201,25.0
sample_202,36.0
sample_203,19.0
sample_204,4.0
sample_205,35.0
sample_206,27.0
sample_207,27.0
sample_208,34.0
sample_209,23.0
sample_210,6.0
sample_211,44.0
sample_212,14.0
sample_213,28.0
sample_214,1.0
sample_215,28.0
sample_216,43.0
sample_217,41.0
sample_218,12.0
sample_219,6.0
sample_220,4.0
sample_221,4.0
sample_222,43.0
sample_223,33.0
sample_224,20.0
sample_225,26.0
sample_226,7.0
sample_227,9.0
sample_228,36.0
sample_229,38.0
sample_230,37.0
sample_231,17.0
sample_232,12.0
sample_233,19.0
sample_234,30.0
sample_235,3.0
sample_236,23.0
sample_237,24.0
sample_238,21.0
sample_239,15.0
sample_240,17.0
sample_241,23.0
sample_242,13.0
sample_243,9.0
sample_244,2.0
sample_245,15.0
sample_246,34.0
sample_247,6.0
sample_248,1.0
sample_249,4.0
sample_250,34.0
sample_251,31.0
sample_252,26.0
sample_253,34.0
sample_254,12.0
sample_255,38.0
sample_256,24.0
sample_257,34.0
sample_258,30.0
sample_259,36.0
sample_260,17.0
sample_261,5.0
sample_262,44.0
sample_263,33.0
sample_264,17.0
sample_265,20.0
sample_266,38.0
sample_267,5.0
sample_268,37.0
sample_269,20.0
sample_270,44.0
sample_271,44.0
sample_272,34.0
sample_273,7.0
sample_274,1.0
sample_275,36.0
sample_276,20.0
sample_277,30.0
sample_278,14.0
sample_279,5.0
sample_280,1.0
sample_281,7.0
sample_282,42.0
sample_283,36.0
sample_284,21.0
sample_285,26.0
sample_286,28.0
sample_287,32.0
sample_288,13.0
sample_289,2.0
sample_290,23.0
sample_291,23.0
sample_292,31.0
sample_293,19.0
sample_294,16.0
sample_295,17.0
sample_296,42.0
sample_297,34.0
sample_298,47.0
sample_299,37.0
sample_300,21.0
sample_301,4.0
sample_302,20.0
sample_303,19.0
sample_304,43.0
sample_305,36.0
sample_306,17.0
sample_307,4.0
sample_308,23.0
sample_309,18.0
sample_310,10.0
sample_311,12.0
sample_312,44.0
sample_313,17.0
sample_314,17.0
sample_315,4.0
sample_316,40.0
sample_317,12.0
sample_318,27.0
sample_319,17.0
sample_320,37.0
sample_321,16.0
sample_322,13.0
sample_323,8.0
sample_324,32.0
sample_325,17.0
sample_326,6.0
sample_327,17.0
sample_328,5.0
sample_329,42.0
sample_330,4.0
sample_331,42.0
sample_332,10.0
sample_333,0.0
sample_334,40.0
sample_335,17.0
sample_336,16.0
sample_337,5.0
sample_338,17.0
sample_339,37.0
sample_340,17.0
sample_341,34.0
sample_342,34.0
sample_343,41.0
sample_344,42.0
sample_345,17.0
sample_346,5.0
sample_347,30.0
sample_348,37.0
sample_349,5.0
sample_350,34.0
sample_351,47.0
sample_352,17.0
sample_353,30.0
sample_354,34.0
