rownames,labels
sample_4,46.0
sample_5,49.0
sample_15,32.0
sample_18,31.0
sample_19,24.0
sample_20,11.0
sample_25,35.0
sample_31,29.0
sample_37,10.0
sample_49,19.0
sample_66,39.0
sample_69,3.0
sample_77,6.0
sample_80,23.0
sample_94,33.0
sample_95,18.0
sample_98,42.0
sample_100,22.0
sample_111,34.0
sample_113,17.0
sample_114,8.0
sample_120,16.0
sample_124,48.0
sample_132,30.0
sample_137,40.0
sample_140,25.0
sample_141,1.0
sample_142,45.0
sample_143,0.0
sample_144,12.0
sample_150,5.0
sample_156,9.0
sample_163,37.0
sample_176,41.0
sample_179,28.0
sample_180,13.0
sample_183,7.0
sample_189,47.0
sample_206,27.0
sample_212,14.0
sample_222,43.0
sample_229,38.0
sample_239,15.0
sample_249,4.0
sample_252,26.0
sample_259,36.0
sample_271,44.0
sample_276,20.0
sample_289,2.0
sample_300,21.0
